county,precinct,office,district,party,candidate,votes,polls,abs,prov
Rankin,413 E Crossgate HD74,Attorney ,,REP,Mike Hurst ,917,888,23,6
Rankin,413 E Crossgate HD74,Attorney ,,,Write-in,1,1,0,0
Rankin,413 E Crossgate HD60,Auditor ,,REP,Stacey E. Pickering ,182,170,9,3
Rankin,413 E Crossgate HD60,Auditor ,,DEM,Jocelyn  Pepper Pritchett,20,17,3,0
Rankin,413 E Crossgate HD60,Auditor ,,REF,Lajena Walley ,2,2,0,0
Rankin,413 E Crossgate HD60,Auditor ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD60,Auditor ,,REP,Stacey E. Pickering ,"1,145","1,104",32,9
Rankin,413 E Crossgate HD74,Auditor ,,DEM,Jocelyn  Pepper Pritchett,138,129,6,3
Rankin,413 E Crossgate HD74,Auditor ,,REF,Lajena Walley ,15,15,0,0
Rankin,413 E Crossgate HD74,Auditor ,,,Write-in,2,2,0,0
Rankin,413 E Crossgate HD60,Treasurer ,,REP,Lynn Fitch ,184,173,8,3
Rankin,413 E Crossgate HD60,Treasurer ,,REF,Viola V. McFarland ,17,13,4,0
Rankin,413 E Crossgate HD60,Treasurer ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD74,Treasurer ,,REP,Lynn Fitch ,"1,202","1,160",33,9
Rankin,413 E Crossgate HD74,Treasurer ,,REF,Viola V. McFarland ,69,64,3,2
Rankin,413 E Crossgate HD74,Treasurer ,,,Write-in,2,2,0,0
Rankin,413 E Crossgate HD60,Agriculture ,,DEM,Addie Lee Green ,20,17,3,0
Rankin,413 E Crossgate HD60,Agriculture ,,REP,Cindy Hyde-Smith ,180,168,9,3
Rankin,413 E Crossgate HD60,Agriculture ,,REF,Cathy L. Toole ,2,2,0,0
Rankin,413 E Crossgate HD60,Agriculture ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD74,Agriculture ,,DEM,Addie Lee Green ,106,101,2,3
Rankin,413 E Crossgate HD74,Agriculture ,,REP,Cindy Hyde-Smith ,"1,172","1,129",34,9
Rankin,413 E Crossgate HD74,Agriculture ,,REF,Cathy L. Toole ,20,19,1,0
Rankin,413 E Crossgate HD74,Agriculture ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD60,Insurance ,,REP,Mike Chaney ,186,173,10,3
Rankin,413 E Crossgate HD60,Insurance ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD74,Insurance ,,REP,Mike Chaney ,"1,230","1,185",35,10
Rankin,413 E Crossgate HD74,Insurance ,,,Write-in,0,0,0,0
Rankin,413 E Crossgate,State Senate,20,REP,Josh Harkins ,"1,208","1,161",36,11
Rankin,413 E Crossgate,State Senate,20,,Write-in,1,0,0,1
Rankin,413 E Crossgate,State Senate,30,REP,Dean Kirby ,186,174,9,3
Rankin,413 E Crossgate,State Senate,30,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD60,House HD60,60,REP,John L. Moore ,182,170,10,2
Rankin,413 E Crossgate HD60,House HD60,60,,Write-in,0,0,0,0
Rankin,413 E Crossgate HD74,State House,74,REP,Mark Baker ,"1,187","1,143",34,10
Rankin,413 E Crossgate HD74,State House,74,,Write-in,2,1,0,1
Rankin,414 Pelahatchie,Voters,,,BALLOTS CAST,917,891,18,8
Rankin,414 Pelahatchie HD74,Governor ,,REP,Phil Bryant ,18,17,1,0
Rankin,414 Pelahatchie HD74,Governor ,,DEM,Robert Gray ,8,8,0,0
Rankin,414 Pelahatchie HD74,Governor ,,REF,Shawn O'Hara ,0,0,0,0
Rankin,414 Pelahatchie HD74,Governor ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Governor ,,REP,Phil Bryant ,681,659,15,7
Rankin,414 Pelahatchie HD75,Governor ,,DEM,Robert Gray ,190,188,1,1
Rankin,414 Pelahatchie HD75,Governor ,,REF,Shawn O'Hara ,6,6,0,0
Rankin,414 Pelahatchie HD75,Governor ,,,Write-in,2,2,0,0
Rankin,414 Pelahatchie HD74,Lt Governor ,,DEM,Tim Johnson ,10,10,0,0
Rankin,414 Pelahatchie HD74,Lt Governor ,,REP,Tate Reeves ,16,15,1,0
Rankin,414 Pelahatchie HD74,Lt Governor ,,LIB,Ron Williams ,0,0,0,0
Rankin,414 Pelahatchie HD74,Lt Governor ,,REF,Rosa B. Williams ,0,0,0,0
Rankin,414 Pelahatchie HD74,Lt Governor ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Lt Governor ,,DEM,Tim Johnson ,214,211,1,2
Rankin,414 Pelahatchie HD75,Lt Governor ,,REP,Tate Reeves ,644,623,15,6
Rankin,414 Pelahatchie HD75,Lt Governor ,,LIB,Ron Williams ,15,15,0,0
Rankin,414 Pelahatchie HD75,Lt Governor ,,REF,Rosa B. Williams ,4,4,0,0
Rankin,414 Pelahatchie HD75,Lt Governor ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD74,Secretary ,,DEM,Charles E. Graham ,11,11,0,0
Rankin,414 Pelahatchie HD74,Secretary ,,REP,Delbert Hosemann ,15,14,1,0
Rankin,414 Pelahatchie HD74,Secretary ,,REF,Randy Walker ,0,0,0,0
Rankin,414 Pelahatchie HD74,Secretary ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Secretary ,,DEM,Charles E. Graham ,200,197,1,2
Rankin,414 Pelahatchie HD75,Secretary ,,REP,Delbert Hosemann ,659,638,15,6
Rankin,414 Pelahatchie HD75,Secretary ,,REF,Randy Walker ,19,19,0,0
Rankin,414 Pelahatchie HD75,Secretary ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD74,Attorney ,,DEM,Jim Hood ,15,15,0,0
Rankin,414 Pelahatchie HD74,Attorney ,,REP,Mike Hurst ,11,10,1,0
Rankin,414 Pelahatchie HD74,Attorney ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Attorney ,,DEM,Jim Hood ,361,352,4,5
Rankin,414 Pelahatchie HD75,Attorney ,,REP,Mike Hurst ,520,505,12,3
Rankin,414 Pelahatchie HD75,Attorney ,,,Write-in,2,2,0,0
Rankin,414 Pelahatchie HD74,Auditor ,,REP,Stacey E. Pickering ,16,15,1,0
Rankin,414 Pelahatchie HD74,Auditor ,,DEM,Jocelyn  Pepper Pritchett,10,10,0,0
Rankin,414 Pelahatchie HD74,Auditor ,,REF,Lajena Walley ,0,0,0,0
Rankin,414 Pelahatchie HD74,Auditor ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Auditor ,,REP,Stacey E. Pickering ,680,658,15,7
Rankin,414 Pelahatchie HD75,Auditor ,,DEM,Jocelyn  Pepper Pritchett,186,184,1,1
Rankin,414 Pelahatchie HD75,Auditor ,,REF,Lajena Walley ,8,8,0,0
Rankin,414 Pelahatchie HD75,Auditor ,,,Write-in,1,1,0,0
Rankin,414 Pelahatchie HD74,Treasurer ,,REP,Lynn Fitch ,20,19,1,0
Rankin,414 Pelahatchie HD74,Treasurer ,,REF,Viola V. McFarland ,4,4,0,0
Rankin,414 Pelahatchie HD74,Treasurer ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Treasurer ,,REP,Lynn Fitch ,716,694,15,7
Rankin,414 Pelahatchie HD75,Treasurer ,,REF,Viola V. McFarland ,94,94,0,0
Rankin,414 Pelahatchie HD75,Treasurer ,,,Write-in,5,5,0,0
Rankin,414 Pelahatchie HD74,Agriculture ,,DEM,Addie Lee Green ,11,11,0,0
Rankin,414 Pelahatchie HD74,Agriculture ,,REP,Cindy Hyde-Smith ,15,14,1,0
Rankin,414 Pelahatchie HD74,Agriculture ,,REF,Cathy L. Toole ,0,0,0,0
Rankin,414 Pelahatchie HD74,Agriculture ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Agriculture ,,DEM,Addie Lee Green ,195,193,1,1
Rankin,414 Pelahatchie HD75,Agriculture ,,REP,Cindy Hyde-Smith ,670,648,15,7
Rankin,414 Pelahatchie HD75,Agriculture ,,REF,Cathy L. Toole ,12,12,0,0
Rankin,414 Pelahatchie HD75,Agriculture ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD74,Insurance ,,REP,Mike Chaney ,22,21,1,0
Rankin,414 Pelahatchie HD74,Insurance ,,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,Insurance ,,REP,Mike Chaney ,772,750,15,7
Rankin,414 Pelahatchie HD75,Insurance ,,,Write-in,5,5,0,0
Rankin,414 Pelahatchie,State Senate,20,REP,Josh Harkins ,777,754,16,7
Rankin,414 Pelahatchie,State Senate,20,,Write-in,12,12,0,0
Rankin,414 Pelahatchie HD74,State House,74,REP,Mark Baker ,21,20,1,0
Rankin,414 Pelahatchie HD74,State House,74,,Write-in,0,0,0,0
Rankin,414 Pelahatchie HD75,House HD75,75,REP,Vance Cox ,496,480,12,4
Rankin,414 Pelahatchie HD75,House HD75,75,DEM,Tom Miles ,381,374,3,4
Rankin,414 Pelahatchie HD75,House HD75,75,,Write-in,1,1,0,0
Rankin,418 W Crossgates,Voters,,,BALLOTS CAST,"1,164","1,103",49,12
Rankin,418 W Crossgates,Governor,,REP,Phil Bryant ,994,946,38,10
Rankin,418 W Crossgates,Governor,,DEM,Robert Gray ,142,131,9,2
Rankin,418 W Crossgates,Governor,,REF,Shawn O'Hara ,12,12,0,0
Rankin,418 W Crossgates,Governor,,,Write-in,4,4,0,0
Rankin,418 W Crossgates,Lieutenant Governor,,DEM,Tim Johnson ,170,158,10,2
Rankin,418 W Crossgates,Lieutenant Governor,,REP,Tate Reeves ,924,881,35,8
Rankin,418 W Crossgates,Lieutenant Governor,,LIB,Ron Williams ,37,35,1,1
Rankin,418 W Crossgates,Lieutenant Governor,,REF,Rosa B. Williams ,10,9,0,1
Rankin,418 W Crossgates,Lieutenant Governor,,,Write-in,2,2,0,0
Rankin,418 W Crossgates,Secretary of State,,DEM,Charles E. Graham ,119,111,5,3
Rankin,418 W Crossgates,Secretary of State,,REP,Delbert Hosemann ,"1,004",954,41,9
Rankin,418 W Crossgates,Secretary of State,,REF,Randy Walker ,32,30,2,0
Rankin,418 W Crossgates,Secretary of State,,,Write-in,0,0,0,0
Rankin,418 W Crossgates,Attorney General,,DEM,Jim Hood ,387,360,20,7
Rankin,418 W Crossgates,Attorney General,,REP,Mike Hurst ,763,731,27,5
Rankin,418 W Crossgates,Attorney General,,,Write-in,0,0,0,0
Rankin,418 W Crossgates,State Auditor,,REP,Stacey E. Pickering ,979,929,41,9
Rankin,418 W Crossgates,State Auditor,,DEM,Jocelyn  Pepper Pritchett,152,143,6,3
Rankin,418 W Crossgates,State Auditor,,REF,Lajena Walley ,15,14,1,0
Rankin,418 W Crossgates,State Auditor,,,Write-in,3,3,0,0
Rankin,418 W Crossgates,State Treasurer,,REP,Lynn Fitch ,"1,035",984,41,10
Rankin,418 W Crossgates,State Treasurer,,REF,Viola V. McFarland ,86,78,6,2
Rankin,418 W Crossgates,State Treasurer,,,Write-in,2,2,0,0
Rankin,418 W Crossgates,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,111,102,6,3
Rankin,418 W Crossgates,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,"1,011",966,36,9
Rankin,418 W Crossgates,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,21,18,3,0
Rankin,418 W Crossgates,Commissioner of Agriculture & Commerce,,,Write-in,1,1,0,0
Rankin,418 W Crossgates,Commissioner of Insurance,,REP,Mike Chaney ,"1,087","1,031",44,12
Rankin,418 W Crossgates,Commissioner of Insurance,,,Write-in,9,8,1,0
Rankin,418 W Crossgates,State Senate,20,REP,Josh Harkins ,"1,063","1,011",40,12
Rankin,418 W Crossgates,State Senate,20,,Write-in,5,4,1,0
Rankin,418 W Crossgates,State House,74,REP,Mark Baker ,"1,045",993,40,12
Rankin,418 W Crossgates,State House,74,,Write-in,6,5,1,0
Rankin,419 NE Brandon,Voters,,,BALLOTS CAST,"1,124","1,059",57,8
Rankin,419 NE Brandon,Governor ,,REP,Phil Bryant ,364,330,31,3
Rankin,419 NE Brandon,Governor ,,DEM,Robert Gray ,35,32,3,0
Rankin,419 NE Brandon,Governor ,,REF,Shawn O'Hara ,2,2,0,0
Rankin,419 NE Brandon,Governor ,,,Write-in,2,1,1,0
Rankin,419 NE Brandon,Governor ,,REP,Phil Bryant ,575,553,20,2
Rankin,419 NE Brandon,Governor ,,DEM,Robert Gray ,117,114,0,3
Rankin,419 NE Brandon,Governor ,,REF,Shawn O'Hara ,12,10,2,0
Rankin,419 NE Brandon,Governor ,,,Write-in,2,2,0,0
Rankin,419 NE Brandon,Lt Governor ,,DEM,Tim Johnson ,51,44,7,0
Rankin,419 NE Brandon,Lt Governor ,,REP,Tate Reeves ,343,313,27,3
Rankin,419 NE Brandon,Lt Governor ,,LIB,Ron Williams ,9,8,1,0
Rankin,419 NE Brandon,Lt Governor ,,REF,Rosa B. Williams ,1,1,0,0
Rankin,419 NE Brandon,Lt Governor ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Lt Governor ,,DEM,Tim Johnson ,136,132,2,2
Rankin,419 NE Brandon,Lt Governor ,,REP,Tate Reeves ,552,532,18,2
Rankin,419 NE Brandon,Lt Governor ,,LIB,Ron Williams ,16,15,1,0
Rankin,419 NE Brandon,Lt Governor ,,REF,Rosa B. Williams ,4,3,0,1
Rankin,419 NE Brandon,Lt Governor ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Secretary ,,DEM,Charles E. Graham ,23,21,2,0
Rankin,419 NE Brandon,Secretary ,,REP,Delbert Hosemann ,374,338,33,3
Rankin,419 NE Brandon,Secretary ,,REF,Randy Walker ,5,5,0,0
Rankin,419 NE Brandon,Secretary ,,,Write-in,1,1,0,0
Rankin,419 NE Brandon,Secretary ,,DEM,Charles E. Graham ,124,120,1,3
Rankin,419 NE Brandon,Secretary ,,REP,Delbert Hosemann ,565,544,19,2
Rankin,419 NE Brandon,Secretary ,,REF,Randy Walker ,19,17,2,0
Rankin,419 NE Brandon,Secretary ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Attorney ,,,Jim Hood ,114,102,12,0
Rankin,419 NE Brandon,Attorney ,,,Mike Hurst ,289,263,23,3
Rankin,419 NE Brandon,Attorney ,,,Write-in,1,1,0,0
Rankin,419 NE Brandon,Attorney ,,,Jim Hood ,251,242,6,3
Rankin,419 NE Brandon,Attorney ,,,Mike Hurst ,463,445,16,2
Rankin,419 NE Brandon,Attorney ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Auditor ,,,Stacey E. Pickering ,363,329,31,3
Rankin,419 NE Brandon,Auditor ,,,Jocelyn  Pepper Pritchett,38,34,4,0
Rankin,419 NE Brandon,Auditor ,,,Lajena Walley ,2,2,0,0
Rankin,419 NE Brandon,Auditor ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Auditor ,,,Stacey E. Pickering ,579,556,21,2
Rankin,419 NE Brandon,Auditor ,,,Jocelyn  Pepper Pritchett,120,117,0,3
Rankin,419 NE Brandon,Auditor ,,,Lajena Walley ,9,8,1,0
Rankin,419 NE Brandon,Auditor ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Treasurer ,,,Lynn Fitch ,379,342,34,3
Rankin,419 NE Brandon,Treasurer ,,,Viola V. McFarland ,19,18,1,0
Rankin,419 NE Brandon,Treasurer ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Treasurer ,,,Lynn Fitch ,614,590,20,4
Rankin,419 NE Brandon,Treasurer ,,,Viola V. McFarland ,59,57,1,1
Rankin,419 NE Brandon,Treasurer ,,,Write-in,7,7,0,0
Rankin,419 NE Brandon,Agriculture ,,,Addie Lee Green ,27,25,2,0
Rankin,419 NE Brandon,Agriculture ,,,Cindy Hyde-Smith ,376,340,33,3
Rankin,419 NE Brandon,Agriculture ,,,Cathy L. Toole ,1,1,0,0
Rankin,419 NE Brandon,Agriculture ,,,Write-in,1,1,0,0
Rankin,419 NE Brandon,Agriculture ,,,Addie Lee Green ,131,126,2,3
Rankin,419 NE Brandon,Agriculture ,,,Cindy Hyde-Smith ,569,548,19,2
Rankin,419 NE Brandon,Agriculture ,,,Cathy L. Toole ,9,8,1,0
Rankin,419 NE Brandon,Agriculture ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Insurance ,,,Mike Chaney ,386,351,32,3
Rankin,419 NE Brandon,Insurance ,,,Write-in,0,0,0,0
Rankin,419 NE Brandon,Insurance ,,,Mike Chaney ,649,622,22,5
Rankin,419 NE Brandon,Insurance ,,,Write-in,12,12,0,0
Rankin,419 NE Brandon,State Senate,20,,Josh Harkins ,640,616,19,5
Rankin,419 NE Brandon,State Senate,20,,Write-in,14,13,1,0
Rankin,419 NE Brandon,State Senate,30,,Dean Kirby ,383,347,33,3
Rankin,419 NE Brandon,State Senate,30,,Write-in,0,0,0,0
Rankin,419 NE Brandon,House HD60,60,,John L. Moore ,365,332,30,3
Rankin,419 NE Brandon,House HD60,60,,Write-in,1,1,0,0
Rankin,419 NE Brandon,State House,74,,Mark Baker ,639,615,20,4
Rankin,419 NE Brandon,State House,74,,Write-in,12,10,1,1
Rankin,506 Flowood Library,Voters,,,BALLOTS CAST,"1,027",997,17,13
Rankin,506 Flowood Library HD59,Governor,,REP,Phil Bryant ,549,539,6,4
Rankin,506 Flowood Library HD59,Governor,,DEM,Robert Gray ,114,106,3,5
Rankin,506 Flowood Library HD59,Governor,,REF,Shawn O'Hara ,11,11,0,0
Rankin,506 Flowood Library HD59,Governor,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD74,Governor,,REP,Phil Bryant ,297,287,8,2
Rankin,506 Flowood Library HD74,Governor,,DEM,Robert Gray ,43,42,0,1
Rankin,506 Flowood Library HD74,Governor,,REF,Shawn O'Hara ,1,1,0,0
Rankin,506 Flowood Library HD74,Governor,,,Write-in,1,1,0,0
Rankin,506 Flowood Library HD59,Lieutenant Governor,,DEM,Tim Johnson ,126,115,6,5
Rankin,506 Flowood Library HD59,Lieutenant Governor,,REP,Tate Reeves ,533,526,3,4
Rankin,506 Flowood Library HD59,Lieutenant Governor,,LIB,Ron Williams ,11,11,0,0
Rankin,506 Flowood Library HD59,Lieutenant Governor,,REF,Rosa B. Williams ,4,4,0,0
Rankin,506 Flowood Library HD59,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD74,Lieutenant Governor,,DEM,Tim Johnson ,53,51,0,2
Rankin,506 Flowood Library HD74,Lieutenant Governor,,REP,Tate Reeves ,278,268,8,2
Rankin,506 Flowood Library HD74,Lieutenant Governor,,LIB,Ron Williams ,11,11,0,0
Rankin,506 Flowood Library HD74,Lieutenant Governor,,REF,Rosa B. Williams ,0,0,0,0
Rankin,506 Flowood Library HD74,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,Secretary of State,,DEM,Charles E. Graham ,94,89,1,4
Rankin,506 Flowood Library HD59,Secretary of State,,REP,Delbert Hosemann ,572,559,8,5
Rankin,506 Flowood Library HD59,Secretary of State,,REF,Randy Walker ,8,8,0,0
Rankin,506 Flowood Library HD59,Secretary of State,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD74,Secretary of State,,DEM,Charles E. Graham ,38,38,0,0
Rankin,506 Flowood Library HD74,Secretary of State,,REP,Delbert Hosemann ,301,289,8,4
Rankin,506 Flowood Library HD74,Secretary of State,,REF,Randy Walker ,7,7,0,0
Rankin,506 Flowood Library HD74,Secretary of State,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,Attorney General,,DEM,Jim Hood ,238,228,5,5
Rankin,506 Flowood Library HD59,Attorney General,,REP,Mike Hurst ,437,429,4,4
Rankin,506 Flowood Library HD59,Attorney General,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD74,Attorney General,,DEM,Jim Hood ,119,116,2,1
Rankin,506 Flowood Library HD74,Attorney General,,REP,Mike Hurst ,226,217,6,3
Rankin,506 Flowood Library HD74,Attorney General,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,State Auditor,,REP,Stacey E. Pickering ,552,541,7,4
Rankin,506 Flowood Library HD59,State Auditor,,DEM,Jocelyn  Pepper Pritchett,115,110,1,4
Rankin,506 Flowood Library HD59,State Auditor,,REF,Lajena Walley ,1,1,0,0
Rankin,506 Flowood Library HD59,State Auditor,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD74,State Auditor,,REP,Stacey E. Pickering ,297,286,8,3
Rankin,506 Flowood Library HD74,State Auditor,,DEM,Jocelyn  Pepper Pritchett,43,43,0,0
Rankin,506 Flowood Library HD74,State Auditor,,REF,Lajena Walley ,3,3,0,0
Rankin,506 Flowood Library HD74,State Auditor,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,State Treasurer,,REP,Lynn Fitch ,594,581,7,6
Rankin,506 Flowood Library HD59,State Treasurer,,REF,Viola V. McFarland ,57,55,0,2
Rankin,506 Flowood Library HD59,State Treasurer,,,Write-in,2,2,0,0
Rankin,506 Flowood Library HD74,State Treasurer,,REP,Lynn Fitch ,311,301,8,2
Rankin,506 Flowood Library HD74,State Treasurer,,REF,Viola V. McFarland ,20,20,0,0
Rankin,506 Flowood Library HD74,State Treasurer,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,94,87,2,5
Rankin,506 Flowood Library HD59,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,565,555,6,4
Rankin,506 Flowood Library HD59,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,8,8,0,0
Rankin,506 Flowood Library HD59,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD74,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,40,40,0,0
Rankin,506 Flowood Library HD74,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,300,289,8,3
Rankin,506 Flowood Library HD74,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,3,3,0,0
Rankin,506 Flowood Library HD74,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,Commissioner of Insurance,,REP,Mike Chaney ,620,603,8,9
Rankin,506 Flowood Library HD59,Commissioner of Insurance,,,Write-in,6,6,0,0
Rankin,506 Flowood Library HD74,Commissioner of Insurance,,REP,Mike Chaney ,324,314,8,2
Rankin,506 Flowood Library HD74,Commissioner of Insurance,,,Write-in,0,0,0,0
Rankin,506 Flowood Library,State Senate,20,REP,Josh Harkins ,615,598,8,9
Rankin,506 Flowood Library,State Senate,20,,Write-in,3,3,0,0
Rankin,506 Flowood Library,State Senate,30,REP,Dean Kirby ,316,306,8,2
Rankin,506 Flowood Library,State Senate,30,,Write-in,0,0,0,0
Rankin,506 Flowood Library HD59,House HD59,59,REP,Brent Powell ,602,585,8,9
Rankin,506 Flowood Library HD59,House HD59,59,,Write-in,3,3,0,0
Rankin,506 Flowood Library HD74,State House,74,REP,Mark Baker ,306,296,8,2
Rankin,506 Flowood Library HD74,State House,74,,Write-in,1,1,0,0
Rankin,508 Eldorado,Voters,,,BALLOTS CAST,838,805,27,6
Rankin,508 Eldorado HD61,Governor,,REP,Phil Bryant ,515,493,18,4
Rankin,508 Eldorado HD61,Governor,,DEM,Robert Gray ,138,133,3,2
Rankin,508 Eldorado HD61,Governor,,REF,Shawn O'Hara ,7,7,0,0
Rankin,508 Eldorado HD61,Governor,,,Write-in,8,7,1,0
Rankin,508 Eldorado HD74,Governor,,REP,Phil Bryant ,134,129,5,0
Rankin,508 Eldorado HD74,Governor,,DEM,Robert Gray ,20,20,0,0
Rankin,508 Eldorado HD74,Governor,,REF,Shawn O'Hara ,2,2,0,0
Rankin,508 Eldorado HD74,Governor,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,Lieutenant Governor,,DEM,Tim Johnson ,154,149,3,2
Rankin,508 Eldorado HD61,Lieutenant Governor,,REP,Tate Reeves ,495,473,18,4
Rankin,508 Eldorado HD61,Lieutenant Governor,,LIB,Ron Williams ,12,11,1,0
Rankin,508 Eldorado HD61,Lieutenant Governor,,REF,Rosa B. Williams ,6,6,0,0
Rankin,508 Eldorado HD61,Lieutenant Governor,,,Write-in,3,3,0,0
Rankin,508 Eldorado HD74,Lieutenant Governor,,DEM,Tim Johnson ,29,29,0,0
Rankin,508 Eldorado HD74,Lieutenant Governor,,REP,Tate Reeves ,125,120,5,0
Rankin,508 Eldorado HD74,Lieutenant Governor,,LIB,Ron Williams ,2,2,0,0
Rankin,508 Eldorado HD74,Lieutenant Governor,,REF,Rosa B. Williams ,1,1,0,0
Rankin,508 Eldorado HD74,Lieutenant Governor,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,Secretary of State,,DEM,Charles E. Graham ,126,121,4,1
Rankin,508 Eldorado HD61,Secretary of State,,REP,Delbert Hosemann ,528,505,18,5
Rankin,508 Eldorado HD61,Secretary of State,,REF,Randy Walker ,17,17,0,0
Rankin,508 Eldorado HD61,Secretary of State,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD74,Secretary of State,,DEM,Charles E. Graham ,22,22,0,0
Rankin,508 Eldorado HD74,Secretary of State,,REP,Delbert Hosemann ,134,129,5,0
Rankin,508 Eldorado HD74,Secretary of State,,REF,Randy Walker ,2,2,0,0
Rankin,508 Eldorado HD74,Secretary of State,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,Attorney General,,DEM,Jim Hood ,257,248,6,3
Rankin,508 Eldorado HD61,Attorney General,,REP,Mike Hurst ,419,400,16,3
Rankin,508 Eldorado HD61,Attorney General,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD74,Attorney General,,DEM,Jim Hood ,58,55,3,0
Rankin,508 Eldorado HD74,Attorney General,,REP,Mike Hurst ,101,99,2,0
Rankin,508 Eldorado HD74,Attorney General,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,State Auditor,,REP,Stacey E. Pickering ,510,489,17,4
Rankin,508 Eldorado HD61,State Auditor,,DEM,Jocelyn  Pepper Pritchett,149,143,4,2
Rankin,508 Eldorado HD61,State Auditor,,REF,Lajena Walley ,4,4,0,0
Rankin,508 Eldorado HD61,State Auditor,,,Write-in,4,3,1,0
Rankin,508 Eldorado HD74,State Auditor,,REP,Stacey E. Pickering ,131,126,5,0
Rankin,508 Eldorado HD74,State Auditor,,DEM,Jocelyn  Pepper Pritchett,26,26,0,0
Rankin,508 Eldorado HD74,State Auditor,,REF,Lajena Walley ,2,2,0,0
Rankin,508 Eldorado HD74,State Auditor,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,State Treasurer,,REP,Lynn Fitch ,549,523,21,5
Rankin,508 Eldorado HD61,State Treasurer,,REF,Viola V. McFarland ,87,86,0,1
Rankin,508 Eldorado HD61,State Treasurer,,,Write-in,3,3,0,0
Rankin,508 Eldorado HD74,State Treasurer,,REP,Lynn Fitch ,141,136,5,0
Rankin,508 Eldorado HD74,State Treasurer,,REF,Viola V. McFarland ,14,14,0,0
Rankin,508 Eldorado HD74,State Treasurer,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD61,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,129,125,3,1
Rankin,508 Eldorado HD61,Commissioner of Agriculture & Commerce,,REP,Cindy Hyde-Smith ,527,503,19,5
Rankin,508 Eldorado HD61,Commissioner of Agriculture & Commerce,,REF,Cathy L. Toole ,7,7,0,0
Rankin,508 Eldorado HD61,Commissioner of Agriculture & Commerce,,,Write-in,0,0,0,0
Rankin,508 Eldorado HD74,Commissioner of Agriculture & Commerce,,DEM,Addie Lee Green ,23,23,0,0
